Label,Area,Circ.,AR,Round,Solidity
(1) LMTK 0%,116,0.162,1.874,0.534,0.325
(1) LMTK 0%,104,0.459,1.125,0.889,0.707
(1) LMTK 0%,112,0.251,1.834,0.545,0.478
(1) LMTK 0%,316,0.071,2.178,0.459,0.285
(1) LMTK 0%,109,0.269,4.776,0.209,0.701
(1) LMTK 0%,147,0.147,3.053,0.328,0.386
(1) LMTK 0%,138,0.170,1.584,0.631,0.428
(1) LMTK 0%,275,0.073,3.261,0.307,0.278
(1) LMTK 0%,135,0.079,3.605,0.277,0.299
(1) LMTK 0%,306,0.097,1.934,0.517,0.344
(1) LMTK 0%,102,0.339,3.125,0.320,0.604
(1) LMTK 0%,114,0.157,3.025,0.331,0.390
(1) LMTK 0%,281,0.151,1.987,0.503,0.496
(1) LMTK 0%,144,0.153,2.277,0.439,0.424
(1) LMTK 0%,129,0.180,1.550,0.645,0.465
(1) LMTK 0%,108,0.132,2.813,0.356,0.334
(1) LMTK 0%,180,0.144,2.231,0.448,0.511
(1) LMTK 0%,122,0.314,2.188,0.457,0.634
(1) LMTK 0%,146,0.372,1.364,0.733,0.656
(1) LMTK 0%,123,0.191,4.507,0.222,0.438
(1) LMTK 0%,228,0.115,1.470,0.680,0.332
(1) LMTK 0%,323,0.077,3.521,0.284,0.306
(1) LMTK 0%,216,0.088,1.860,0.538,0.283
(1) LMTK 0%,182,0.074,5.419,0.185,0.238
(1) LMTK 0%,115,0.159,4.046,0.247,0.411
(1) LMTK 0%,131,0.274,1.806,0.554,0.469
(1) LMTK 0%,107,0.385,2.879,0.347,0.675
(1) LMTK 0%,174,0.179,2.518,0.397,0.439
(1) LMTK 0%,131,0.156,2.618,0.382,0.389
(1) LMTK 0%,104,0.126,5.246,0.191,0.418
(1) LMTK 0%,214,0.114,1.798,0.556,0.472
(1) LMTK 0%,160,0.112,3.481,0.287,0.319
(1) LMTK 0%,113,0.157,3.039,0.329,0.431
(1) LMTK 0%,132,0.525,1.079,0.927,0.746
(1) LMTK 0%,105,0.208,3.398,0.294,0.459
(1) LMTK 0%,178,0.165,1.502,0.666,0.397
(1) LMTK 0%,111,0.209,2.538,0.394,0.497
(1) LMTK 0%,182,0.096,2.797,0.358,0.310
(1) LMTK 0%,124,0.160,5.054,0.198,0.510
(1) LMTK 0%,117,0.154,5.770,0.173,0.609
(1) LMTK 0%,275,0.063,1.402,0.713,0.296
(1) LMTK 0%,123,0.203,2.287,0.437,0.442
(1) LMTK 0%,118,0.172,4.297,0.233,0.483
(1) LMTK 0%,553,0.055,1.529,0.654,0.351
(1) LMTK 0%,108,0.161,4.772,0.210,0.408
(1) LMTK 0%,250,0.059,3.792,0.264,0.202
(1) LMTK 0%,138,0.143,1.055,0.948,0.346
(1) LMTK 0%,142,0.146,6.516,0.153,0.382
(1) LMTK 0%,111,0.163,1.951,0.513,0.416
(1) LMTK 0%,265,0.160,2.486,0.402,0.438
(1) LMTK 0%,103,0.195,2.836,0.353,0.468
(1) LMTK 0%,112,0.296,3.547,0.282,0.615
(1) LMTK 0%,146,0.150,8.471,0.118,0.531
(1) LMTK 0%,195,0.135,3.192,0.313,0.355
(1) LMTK 0%,136,0.205,1.085,0.921,0.469
(1) LMTK 0%,170,0.155,3.116,0.321,0.433
(1) LMTK 0%,116,0.208,2.458,0.407,0.477
(1) LMTK 0%,249,0.073,1.668,0.599,0.277
(1) LMTK 0%,107,0.146,4.837,0.207,0.341
(1) LMTK 0%,173,0.115,2.178,0.459,0.311
